team,season,opp_def_epa_per_play,opp_def_pass_epa,opp_def_pass_yards
ARI,2016,-0.083450615,-0.06785748,10.869186
ARI,2017,-0.0817951,-0.06772185,11.067056
ARI,2018,-0.02024215,0.010614659,10.511696
ARI,2019,0.044270664,0.20240213,11.365796
ARI,2020,-0.021404784,0.022424435,10.819178
ARI,2021,-0.050085645,-0.02906194,10.550408
ARI,2022,-0.0014895602,0.031668272,10.099033
ARI,2023,0.062281232,0.15039179,11.083573
ARI,2024,0.04973109,0.0628847,10.621622
ATL,2016,0.015918557,0.08395892,10.651659
ATL,2017,-0.012673999,0.013466538,10.290055
ATL,2018,0.06318725,0.07456033,11.0753765
ATL,2019,0.004228406,0.1299433,11.7863245
ATL,2020,0.033377074,0.14566685,11.571765
ATL,2021,0.046324182,0.13973069,10.496163
ATL,2022,0.019297866,0.12876198,10.994623
ATL,2023,-0.04381224,-0.011501806,10.902941
ATL,2024,0.043904535,0.09906276,9.910892
BAL,2016,-0.06213542,0.021671718,10.696477
BAL,2017,-0.108826794,-0.16126598,11.114114
BAL,2018,-0.080603704,-0.06016177,10.833828
BAL,2019,-0.06978491,-0.15423492,11.267296
BAL,2020,-0.058859367,-0.037915714,10.021052
BAL,2021,0.015750917,0.15719685,12.559194
BAL,2022,-0.03029023,0.014557848,10.791878
BAL,2023,-0.11282484,-0.20324256,9.6796875
BAL,2024,0.008493658,-0.004132435,11.282828
BUF,2016,-0.0046594655,0.052850354,12.53268
BUF,2017,-0.010783824,-0.011745151,10.389189
BUF,2018,-0.077697076,-0.1286152,9.853035
BUF,2019,-0.09559056,-0.12178198,9.83046
BUF,2020,0.016066788,0.010713789,10.693767
BUF,2021,-0.11245766,-0.18863079,10.259259
BUF,2022,-0.058676507,-0.038506214,10.279005
BUF,2023,-0.052113242,-0.11028358,10.126721
BUF,2024,-0.0036071597,0.048905015,10.353536
CAR,2016,-0.027315455,0.04362444,11.151589
CAR,2017,-0.054960232,-0.03578535,11.307693
CAR,2018,0.0442569,0.113418475,11.507082
CAR,2019,0.03318371,0.016375242,11.518732
CAR,2020,0.059326734,0.09220686,10.110553
CAR,2021,-0.049860176,-0.018582314,10.560831
CAR,2022,-0.015262743,0.04448058,10.6997385
CAR,2023,0.01565691,2.8791148e-05,10.061489
CAR,2024,0.12138559,0.159443,11.230556
CHI,2016,0.041038316,0.10647281,11.192983
CHI,2017,-0.04790596,-0.03145087,10.650146
CHI,2018,-0.12839262,-0.12295623,10.222812
CHI,2019,-0.06527873,-0.01686436,10.486188
CHI,2020,-0.0131270215,0.07324765,11.254286
CHI,2021,-0.0046288203,0.030721733,11.538217
CHI,2022,0.07391015,0.16484036,11.888545
CHI,2023,-0.05616491,0.0013622718,10.353659
CHI,2024,0.011145175,0.0038872594,12.181539
CIN,2016,0.008325444,0.026196761,10.65508
CIN,2017,-0.032997824,-0.0647384,10.883928
CIN,2018,0.06480474,0.15255813,11.791774
CIN,2019,0.055718217,0.18077596,13.37987
CIN,2020,0.06372796,0.124724634,11.594118
CIN,2021,-0.035779893,0.002852433,10.709524
CIN,2022,-0.0469358,-0.06164121,11.635259
CIN,2023,0.008811697,0.04364605,12.307693
CIN,2024,0.056033816,0.038592692,10.795699
CLE,2016,0.08666452,0.23863527,12.025936
CLE,2017,0.01741966,0.10547278,10.780556
CLE,2018,-0.01713902,0.003477592,11.119593
CLE,2019,0.0040164627,0.016186683,11.761006
CLE,2020,0.06353812,0.11140576,11.385445
CLE,2021,0.0032595398,-0.025014307,10.114442
CLE,2022,0.009145087,-0.034103137,11.260318
CLE,2023,-0.14029269,-0.23695202,10.257329
CLE,2024,-0.01119706,0.056649562,12.272152
DAL,2016,-0.02432816,0.055441927,10.296471
DAL,2017,-0.023423566,0.022712354,10.097035
DAL,2018,-0.036068812,0.039730612,10.855586
DAL,2019,-0.035381567,-0.017307924,10.483784
DAL,2020,0.03872197,0.07785573,11.646341
DAL,2021,-0.08715727,-0.1513932,11.939561
DAL,2022,-0.08451567,-0.108823396,10.91884
DAL,2023,-0.07652171,-0.13810095,11.301948
DAL,2024,0.05106511,0.026691087,11.590258
DEN,2016,-0.0894819,-0.23340677,10.457517
DEN,2017,-0.05753634,-0.020040175,11.513605
