team,season,opp_def_epa_per_play,opp_def_rush_epa,opp_def_rush_yards
ARI,2016,-0.083450615,-0.15028137,3.5801888
ARI,2017,-0.0817951,-0.15632693,3.5320196
ARI,2018,-0.02024215,0.028632615,4.8607845
ARI,2019,0.044270664,-0.09791238,4.3781323
ARI,2020,-0.021404784,-0.024176091,4.6055045
ARI,2021,-0.050085645,-0.08814014,4.5751176
ARI,2022,-0.0014895602,-0.04010902,4.5201793
ARI,2023,0.062281232,0.005203823,4.671785
ARI,2024,0.04973109,0.03187875,4.6215053
ATL,2016,0.015918557,-0.024093844,4.518919
ATL,2017,-0.012673999,-0.058632992,4.141791
ATL,2018,0.06318725,0.08236527,4.8875303
ATL,2019,0.004228406,-0.08610694,4.216152
ATL,2020,0.033377074,-0.10944197,4.413158
ATL,2021,0.046324182,3.993602e-05,4.3198457
ATL,2022,0.019297866,-0.010260564,4.428
ATL,2023,-0.04381224,-0.13766281,4.026052
ATL,2024,0.043904535,0.0073052077,4.478166
BAL,2016,-0.06213542,-0.15123041,3.7239583
BAL,2017,-0.108826794,-0.091220774,4.091954
BAL,2018,-0.080603704,-0.11083061,3.7485876
BAL,2019,-0.06978491,-0.06488724,4.394118
BAL,2020,-0.058859367,-0.10573298,4.5549736
BAL,2021,0.015750917,-0.11424103,3.7989419
BAL,2022,-0.03029023,-0.09060008,3.857143
BAL,2023,-0.11282484,-0.06416206,4.481928
BAL,2024,0.008493658,-0.13484474,3.5535247
BUF,2016,-0.0046594655,-0.030744936,4.551282
BUF,2017,-0.010783824,0.01595602,4.27897
BUF,2018,-0.077697076,-0.07470384,4.1822324
BUF,2019,-0.09559056,-0.04400823,4.25
BUF,2020,0.016066788,0.022161474,4.6231885
BUF,2021,-0.11245766,-0.079213664,4.2217193
BUF,2022,-0.058676507,-0.08457328,4.3229976
BUF,2023,-0.052113242,-0.030868785,4.596577
BUF,2024,-0.0036071597,-0.09658052,4.512644
CAR,2016,-0.027315455,-0.083682045,3.8962767
CAR,2017,-0.054960232,-0.120283924,3.9915013
CAR,2018,0.0442569,-0.050012823,4.6979165
CAR,2019,0.03318371,0.09590706,5.1595507
CAR,2020,0.059326734,0.027897893,4.745098
CAR,2021,-0.049860176,-0.1114373,4.050633
CAR,2022,-0.015262743,-0.058852773,4.272541
CAR,2023,0.01565691,-0.0057304623,4.0964565
CAR,2024,0.12138559,0.12507033,5.1621623
CHI,2016,0.041038316,0.0098586315,4.3820224
CHI,2017,-0.04790596,-0.10047607,4.0046296
CHI,2018,-0.12839262,-0.17650504,3.7758112
CHI,2019,-0.06527873,-0.1251457,3.942029
CHI,2020,-0.0131270215,-0.10511758,4.1415524
CHI,2021,-0.0046288203,-0.014784099,4.4037266
CHI,2022,0.07391015,0.038822908,4.9335794
CHI,2023,-0.05616491,-0.15005879,3.7835052
CHI,2024,0.011145175,0.0023960476,4.7773194
CIN,2016,0.008325444,-0.03874197,4.3980584
CIN,2017,-0.032997824,-0.03128777,4.184049
CIN,2018,0.06480474,0.027784659,4.718884
CIN,2019,0.055718217,-0.00069801294,4.7083335
CIN,2020,0.06372796,0.036223795,5.114471
CIN,2021,-0.035779893,-0.04001874,4.2800984
CIN,2022,-0.0469358,-0.037264615,4.191646
CIN,2023,0.008811697,0.0007635721,4.7039475
CIN,2024,0.056033816,0.015721718,4.430063
CLE,2016,0.08666452,0.0066145593,4.584337
CLE,2017,0.01741966,-0.144395,3.3533192
CLE,2018,-0.01713902,-0.0045672706,4.712418
CLE,2019,0.0040164627,0.018238563,5.0
CLE,2020,0.06353812,0.017272335,4.303398
CLE,2021,0.0032595398,0.013544597,4.249428
CLE,2022,0.009145087,0.058177084,4.702869
CLE,2023,-0.14029269,-0.118656226,4.2690477
CLE,2024,-0.01119706,-0.073735446,4.5184426
DAL,2016,-0.02432816,-0.121723905,3.9294116
DAL,2017,-0.023423566,-0.043341707,4.129032
DAL,2018,-0.036068812,-0.1623203,3.7825
DAL,2019,-0.035381567,-0.09160473,4.068796
DAL,2020,0.03872197,0.029382015,4.9823527
DAL,2021,-0.08715727,-0.00903629,4.4708624
DAL,2022,-0.08451567,-0.09844236,4.4225354
DAL,2023,-0.07652171,-0.09395047,4.16122
DAL,2024,0.05106511,0.12345915,4.8360996
DEN,2016,-0.0894819,-0.012922537,4.325726
DEN,2017,-0.05753634,-0.21901359,3.3411214
DEN,2018,-0.022588613,-0.062126383,4.4592075
DEN,2019,-0.021861833,-0.058552206,4.185446
DEN,2020,0.033843808,0.02024418,4.792627
DEN,2021,0.001147267,-0.008397423,4.2902493
DEN,2022,-0.017907022,-0.04989616,4.260274
DEN,2023,0.004629748,-0.039655205,4.970149
DEN,2024,-0.072451495,-0.11640132,3.865566
DET,2016,0.04792308,-0.07183893,4.3727508
DET,2017,-0.08535152,-0.083891205,4.1666665
DET,2018,-0.019261722,-0.049042262,4.369727
DET,2019,0.023018535,-0.07542528,4.076923
DET,2020,0.11783229,0.041985247,4.4312115
DET,2021,0.0610331,-0.0025237394,4.4324327
DET,2022,0.031425226,0.09313934,5.2222223
DET,2023,-0.032455064,-0.11834719,3.6985295
DET,2024,-0.038346697,-0.020901285,4.531165
GB,2016,0.044260178,-0.090570256,4.0292554
GB,2017,0.02214442,-0.11413631,3.8642242
GB,2018,0.026651697,-0.101574704,4.3004484
GB,2019,-0.034621768,0.007658798,4.673966
