Name,Team,PA,G,AB,ab_per_game,AVG,OBP,SLG,ISO,wOBA,wRC+,BB%,K%,IDfg
Aaron Judge,NYY,679,152,541,3.5592105263157894,0.331,0.457,0.688,0.357,0.463,204,0.183,0.23600000000000002,15640
Cal Raleigh,SEA,705,159,596,3.748427672955975,0.247,0.359,0.589,0.342,0.392,161,0.138,0.267,21534
Bobby Witt Jr.,KCR,687,157,623,3.968152866242038,0.295,0.351,0.501,0.205,0.36,130,0.071,0.182,25764
Shohei Ohtani,LAD,727,158,611,3.867088607594937,0.282,0.392,0.622,0.34,0.418,172,0.15,0.257,19755
Geraldo Perdomo,ARI,720,161,597,3.7080745341614905,0.29,0.389,0.462,0.173,0.37,138,0.131,0.115,22799
Trea Turner,PHI,639,141,589,4.177304964539007,0.304,0.355,0.457,0.153,0.352,125,0.067,0.16699999999999998,16252
Corbin Carroll,ARI,642,143,564,3.944055944055944,0.259,0.343,0.541,0.282,0.371,139,0.10400000000000001,0.23800000000000002,25878
Jose Ramirez,CLE,673,158,593,3.7531645569620253,0.283,0.36,0.503,0.219,0.36,133,0.098,0.11,13510
Francisco Lindor,NYM,732,160,644,4.025,0.267,0.346,0.466,0.199,0.35,129,0.08900000000000001,0.179,12916
Fernando Tatis Jr.,SDP,691,155,594,3.832258064516129,0.268,0.368,0.446,0.178,0.353,131,0.129,0.187,19709
Juan Soto,NYM,715,160,577,3.60625,0.263,0.396,0.525,0.262,0.39,156,0.17800000000000002,0.192,20123
Jeremy Pena,HOU,543,125,493,3.944,0.304,0.363,0.477,0.172,0.363,135,0.064,0.171,21636
Julio Rodriguez,SEA,710,160,652,4.075,0.267,0.324,0.474,0.207,0.341,126,0.062,0.214,23697
Maikel Garcia,KCR,666,160,595,3.71875,0.286,0.351,0.449,0.163,0.347,121,0.09300000000000001,0.126,22715
Pete Crow-Armstrong,CHC,647,157,591,3.7643312101910826,0.247,0.287,0.481,0.234,0.323,109,0.045,0.24,27769
George Springer,TOR,586,140,498,3.557142857142857,0.309,0.399,0.56,0.251,0.408,166,0.11800000000000001,0.18899999999999997,12856
Byron Buxton,MIN,542,126,488,3.873015873015873,0.264,0.327,0.551,0.287,0.367,136,0.076,0.273,14161
Kyle Schwarber,PHI,724,162,604,3.728395061728395,0.24,0.365,0.563,0.323,0.391,152,0.149,0.272,16478
Cody Bellinger,NYY,656,152,588,3.8684210526315788,0.272,0.334,0.48,0.207,0.347,125,0.087,0.13699999999999998,15998
Gunnar Henderson,BAL,651,154,577,3.7467532467532467,0.274,0.349,0.438,0.165,0.339,120,0.095,0.21,26289
Nico Hoerner,CHC,649,156,599,3.83974358974359,0.297,0.345,0.394,0.097,0.324,109,0.06,0.076,21479
Matt Olson,ATL,724,162,624,3.8518518518518516,0.272,0.366,0.484,0.212,0.366,136,0.126,0.243,14344
Alejandro Kirk,TOR,506,130,451,3.4692307692307693,0.282,0.348,0.421,0.14,0.334,116,0.095,0.11699999999999999,22581
Nick Kurtz,ATH,489,117,420,3.58974358974359,0.29,0.383,0.619,0.329,0.419,170,0.129,0.309,35110
Ketel Marte,ARI,556,126,480,3.8095238095238093,0.283,0.376,0.517,0.233,0.381,145,0.115,0.149,13613
Junior Caminero,TBR,653,154,602,3.909090909090909,0.264,0.311,0.535,0.271,0.357,129,0.063,0.191,28163
Kyle Tucker,CHC,597,136,500,3.676470588235294,0.266,0.377,0.464,0.198,0.363,136,0.146,0.147,18345
Jazz Chisholm Jr.,NYY,531,130,462,3.5538461538461537,0.242,0.332,0.481,0.238,0.349,126,0.109,0.27899999999999997,20454
Brice Turang,MIL,659,156,584,3.7435897435897436,0.288,0.359,0.435,0.147,0.346,124,0.1,0.228,22186
Elly De La Cruz,CIN,699,162,629,3.882716049382716,0.264,0.336,0.44,0.176,0.333,109,0.096,0.259,26668
Will Smith,LAD,436,110,362,3.290909090909091,0.296,0.404,0.497,0.202,0.389,153,0.147,0.204,19197
Wyatt Langford,TEX,573,134,489,3.6492537313432836,0.241,0.344,0.431,0.19,0.337,118,0.129,0.264,33333
Andy Pages,LAD,624,156,581,3.7243589743589745,0.272,0.313,0.461,0.189,0.332,113,0.046,0.21600000000000003,24816
Dillon Dingler,DET,469,126,435,3.4523809523809526,0.278,0.327,0.425,0.147,0.326,109,0.049,0.235,27464
Kyle Stowers,MIA,457,117,399,3.41025641025641,0.288,0.368,0.544,0.256,0.386,149,0.105,0.27399999999999997,26151
Corey Seager,TEX,445,102,380,3.7254901960784315,0.271,0.373,0.487,0.216,0.365,138,0.13,0.196,13624
Willy Adames,SFG,686,160,591,3.69375,0.225,0.318,0.421,0.196,0.321,108,0.11699999999999999,0.261,15986
Freddie Freeman,LAD,627,147,556,3.7823129251700682,0.295,0.367,0.502,0.207,0.37,139,0.096,0.204,5361
Shea Langeliers,ATH,523,123,481,3.910569105691057,0.277,0.325,0.536,0.26,0.364,132,0.069,0.19699999999999998,25816
Vladimir Guerrero Jr.,TOR,680,156,589,3.7756410256410255,0.292,0.381,0.467,0.175,0.366,137,0.11900000000000001,0.138,19611
Jarren Duran,BOS,696,157,620,3.949044585987261,0.256,0.332,0.442,0.185,0.335,111,0.086,0.243,24617
Bo Bichette,TOR,628,139,582,4.18705035971223,0.311,0.357,0.483,0.172,0.361,134,0.064,0.145,19612
Eugenio Suarez,- - -,657,159,588,3.69811320754717,0.228,0.298,0.526,0.298,0.347,125,0.07,0.298,12552
Manny Machado,SDP,678,159,615,3.8679245283018866,0.275,0.335,0.46,0.185,0.341,123,0.081,0.193,11493
Ceddanne Rafaela,BOS,587,156,546,3.5,0.249,0.295,0.414,0.165,0.307,91,0.048,0.19899999999999998,24262
Matt Chapman,SFG,535,128,454,3.546875,0.231,0.34,0.43,0.198,0.336,118,0.133,0.23600000000000002,16505
Pete Alonso,NYM,709,162,624,3.8518518518518516,0.272,0.347,0.524,0.252,0.368,141,0.086,0.228,19251
Sal Frelick,MIL,594,142,528,3.7183098591549295,0.288,0.351,0.405,0.117,0.332,114,0.079,0.135,29622
William Contreras,MIL,659,150,566,3.7733333333333334,0.26,0.355,0.399,0.14,0.332,113,0.127,0.182,20503
Ronald Acuna Jr.,ATL,412,95,338,3.557894736842105,0.29,0.417,0.518,0.228,0.403,161,0.172,0.248,18401
Michael Busch,CHC,592,155,524,3.3806451612903228,0.261,0.343,0.523,0.261,0.369,140,0.095,0.235,26319
Bryce Harper,PHI,580,132,501,3.7954545454545454,0.261,0.357,0.487,0.226,0.361,131,0.121,0.209,11579
Alex Bregman,BOS,495,114,433,3.7982456140350878,0.273,0.36,0.462,0.189,0.356,125,0.10300000000000001,0.141,17678
Jacob Wilson,ATH,523,125,486,3.888,0.311,0.355,0.444,0.134,0.348,121,0.052000000000000005,0.075,33266
Masyn Winn,STL,537,129,491,3.806201550387597,0.253,0.31,0.363,0.11,0.297,91,0.063,0.19,27479
Hunter Goodman,COL,579,144,540,3.75,0.278,0.323,0.52,0.243,0.359,118,0.057,0.263,29715
Tyler Soderstrom,ATH,624,158,561,3.550632911392405,0.276,0.346,0.474,0.198,0.354,125,0.08800000000000001,0.226,27467
Mookie Betts,LAD,663,150,589,3.9266666666666667,0.258,0.326,0.406,0.148,0.318,104,0.092,0.10300000000000001,13611
Rafael Devers,- - -,729,163,607,3.723926380368098,0.252,0.372,0.479,0.227,0.365,135,0.154,0.263,17350
James Wood,WSN,689,157,598,3.8089171974522293,0.256,0.35,0.475,0.219,0.353,127,0.12300000000000001,0.321,29518
Dansby Swanson,CHC,645,159,590,3.710691823899371,0.244,0.3,0.417,0.173,0.31,99,0.073,0.26,18314
Trent Grisham,NYY,581,143,494,3.4545454545454546,0.235,0.348,0.464,0.229,0.353,129,0.141,0.23600000000000002,18564
Harrison Bader,- - -,501,146,448,3.0684931506849313,0.277,0.347,0.449,0.172,0.346,122,0.078,0.271,18030
Zach McKinstry,DET,511,144,452,3.138888888888889,0.259,0.333,0.438,0.179,0.333,114,0.09,0.217,19392
