Name,Team,season,k_per_9,ip_per_gs,ERA,FIP,SO,IP,GS
German Marquez,COL,2020,8.091133004926109,6.246153846153846,3.75,3.28,73,81.2,13
Brandon Woodruff,MIL,2020,11.188524590163933,5.630769230769231,3.05,3.2,91,73.2,13
Lance Lynn,TEX,2020,9.535714285714286,6.461538461538462,3.32,4.19,89,84.0,13
Kyle Freeland,COL,2020,5.897435897435897,5.4,4.33,4.65,46,70.2,13
Shane Bieber,CLE,2020,14.241245136186771,6.425,1.63,2.07,122,77.1,12
Yu Darvish,CHC,2020,11.01315789473684,6.333333333333333,2.01,2.23,93,76.0,12
Jacob deGrom,NYM,2020,13.76470588235294,5.666666666666667,2.38,2.26,104,68.0,12
Dinelson Lamet,SDP,2020,12.130434782608695,5.75,2.09,2.48,93,69.0,12
Luis Castillo,CIN,2020,11.442857142857143,5.833333333333333,3.21,2.65,89,70.0,12
Zack Greinke,HOU,2020,9.0,5.583333333333333,4.03,2.8,67,67.0,12
Aaron Nola,PHI,2020,12.151898734177216,5.925,3.28,3.19,96,71.1,12
Lucas Giolito,CHW,2020,12.108183079056866,6.008333333333333,3.48,3.19,97,72.1,12
Kyle Hendricks,CHC,2020,7.102342786683107,6.758333333333333,2.88,3.55,64,81.1,12
Hyun-Jin Ryu,TOR,2020,9.671641791044776,5.583333333333333,2.69,3.01,72,67.0,12
Max Scherzer,WSN,2020,12.339791356184799,5.591666666666666,3.74,3.46,92,67.1,12
Rick Porcello,NYM,2020,8.23728813559322,4.916666666666667,5.64,3.33,54,59.0,12
Andrew Heaney,LAA,2020,9.516616314199394,5.516666666666667,4.45,3.79,70,66.2,12
Carlos Carrasco,CLE,2020,10.852941176470587,5.666666666666667,2.91,3.59,82,68.0,12
Zach Davies,SDP,2020,8.205499276410999,5.758333333333333,2.73,3.88,63,69.1,12
Gerrit Cole,NYY,2020,11.589041095890412,6.083333333333333,2.84,3.89,94,73.0,12
Zac Gallen,ARI,2020,10.25,6.0,2.75,3.66,82,72.0,12
Aaron Civale,CLE,2020,8.391891891891891,6.166666666666667,4.74,4.03,69,74.0,12
Antonio Senzatela,COL,2020,5.047879616963065,6.091666666666666,3.44,4.57,41,73.1,12
Jose Berrios,MIN,2020,9.714285714285714,5.25,4.0,4.06,68,63.0,12
