season,team,team_name,woba,wrc_plus,ops,bb_pct,k_pct,iso,era_minus,fip_minus,xfip,whip,k_per_9,bb_per_9,hr_per_9,era,fip
2000,ANA,ANA,0.356,106,0.825,0.095,0.161,0.193,102,112,,1.52,5.26,4.11,1.42,5.02,5.46
2000,ARI,ARI,0.332,88,0.763,0.086,0.156,0.164,92,90,,1.34,7.61,3.12,1.18,4.36,4.28
2000,ATL,ATL,0.339,96,0.775,0.095,0.161,0.157,88,90,,1.33,6.83,3.02,1.03,4.06,4.19
2000,BAL,BAL,0.338,98,0.776,0.08900000000000001,0.14400000000000002,0.163,113,103,,1.54,6.39,4.18,1.27,5.37,5.01
2000,BOS,BOS,0.334,92,0.764,0.096,0.16,0.156,85,92,,1.33,6.95,3.09,1.07,4.24,4.29
2000,CHC,CHC,0.327,89,0.746,0.099,0.175,0.155,115,109,,1.49,7.07,4.07,1.43,5.26,5.11
2000,CHW,CHW,0.357,106,0.826,0.092,0.15,0.184,94,98,,1.46,6.44,3.81,1.21,4.67,4.83
2000,CIN,CIN,0.341,94,0.79,0.08800000000000001,0.156,0.173,91,101,,1.45,6.27,4.07,1.17,4.33,4.88
2000,CLE,CLE,0.364,109,0.837,0.105,0.162,0.182,96,91,,1.51,7.57,4.16,1.08,4.84,4.48
2000,COL,COL,0.353,82,0.816,0.09300000000000001,0.141,0.161,93,98,,1.51,6.3,3.7,1.39,5.29,5.13
2000,DET,DET,0.341,100,0.781,0.08900000000000001,0.155,0.163,99,96,,1.44,6.1,3.09,1.1,4.73,4.5
2000,FLA,FLA,0.324,89,0.74,0.087,0.191,0.147,103,101,,1.49,6.62,4.09,1.06,4.59,4.65
2000,HOU,HOU,0.361,105,0.837,0.10400000000000001,0.175,0.199,113,108,,1.53,6.66,3.74,1.46,5.42,5.14
2000,KCR,KCR,0.338,89,0.773,0.08,0.131,0.138,105,111,,1.58,5.8,4.33,1.49,5.48,5.54
2000,LAD,LAD,0.337,99,0.771,0.106,0.172,0.174,95,96,,1.37,7.19,3.74,1.1,4.1,4.52
2000,MIL,MIL,0.319,82,0.729,0.098,0.196,0.158,100,106,,1.52,5.94,4.47,1.07,4.63,4.98
2000,MIN,MIN,0.327,86,0.744,0.08800000000000001,0.163,0.137,103,100,,1.5,6.55,3.24,1.33,5.16,4.76
2000,MON,MON,0.327,87,0.758,0.077,0.17,0.165,111,100,,1.51,6.39,3.66,1.14,5.14,4.71
2000,NYM,NYM,0.339,99,0.776,0.107,0.16399999999999998,0.167,94,94,,1.36,7.22,3.56,1.02,4.16,4.31
2000,NYY,NYY,0.35,105,0.804,0.1,0.16,0.173,99,96,,1.43,6.57,3.65,1.12,4.76,4.61
2000,OAK,OAK,0.356,109,0.817,0.11699999999999999,0.18,0.188,95,96,,1.5,6.04,3.86,0.99,4.58,4.61
2000,PHI,PHI,0.32,83,0.729,0.09699999999999999,0.17800000000000002,0.148,103,104,,1.46,7.03,4.0,1.26,4.79,4.81
2000,PIT,PIT,0.333,91,0.762,0.08900000000000001,0.162,0.157,106,101,,1.56,6.65,4.42,1.01,4.94,4.72
2000,SDP,SDP,0.321,91,0.732,0.096,0.187,0.148,105,107,,1.43,6.61,4.0,1.18,4.52,4.84
2000,SEA,SEA,0.352,107,0.803,0.12,0.16699999999999998,0.172,96,98,,1.44,6.23,3.96,1.04,4.53,4.65
2000,SFG,SFG,0.359,112,0.834,0.11,0.161,0.194,95,97,,1.44,6.7,3.88,0.94,4.21,4.38
2000,STL,STL,0.353,105,0.812,0.106,0.19699999999999998,0.185,96,100,,1.4,6.91,3.8,1.23,4.4,4.77
2000,TBD,TBD,0.321,83,0.728,0.09,0.165,0.142,98,100,,1.46,6.0,3.35,1.24,4.86,4.85
2000,TEX,TEX,0.347,97,0.798,0.091,0.145,0.163,107,105,,1.64,5.78,4.16,1.27,5.52,5.21
