team,season,gp,wins,goals_for_pg,goals_against_pg,shots_for_pg,shots_against_pg,corsi_for_pct,off_xg_pct,def_xg_pct,pp_pct,pk_pct
COL,2025,57,38,3.807,2.456,34.21,26.89,0.5599,0.5599,0.4401,0.1514,0.8385
TBL,2025,57,38,3.561,2.544,28.28,26.61,0.5152,0.5152,0.4848,0.2222,0.8315
CAR,2025,58,37,3.414,2.828,31.93,24.43,0.5665,0.5665,0.4335,0.2191,0.8025
DAL,2025,58,35,3.328,2.724,25.67,26.74,0.4898,0.4898,0.5102,0.3,0.8034
MIN,2025,59,35,3.339,2.847,29.0,30.25,0.4894,0.4894,0.5106,0.2564,0.7763
DET,2025,59,34,2.949,2.932,28.22,27.69,0.5047,0.5047,0.4953,0.2337,0.7922
BOS,2025,58,33,3.397,3.121,27.12,30.21,0.4731,0.4731,0.5269,0.2647,0.7653
NYI,2025,59,33,2.864,2.712,27.42,27.88,0.4959,0.4959,0.5041,0.1609,0.8148
BUF,2025,58,33,3.345,3.052,27.66,30.05,0.4792,0.4792,0.5208,0.1977,0.8269
MTL,2025,58,32,3.448,3.224,26.22,27.31,0.4899,0.4899,0.5101,0.247,0.766
ANA,2025,57,31,3.246,3.509,30.09,28.81,0.5109,0.5109,0.4891,0.1792,0.7778
WSH,2025,60,30,3.183,2.883,29.15,28.23,0.508,0.508,0.492,0.1629,0.7917
FLA,2025,58,30,3.017,3.293,29.17,25.88,0.5299,0.5299,0.4701,0.1925,0.8235
UTA,2025,58,30,3.19,2.776,27.81,26.0,0.5168,0.5168,0.4832,0.1576,0.7889
PIT,2025,57,30,3.421,2.86,29.19,27.33,0.5164,0.5164,0.4836,0.26,0.8452
CBJ,2025,57,29,3.088,3.158,29.96,30.14,0.4985,0.4985,0.5015,0.1957,0.7716
EDM,2025,60,29,3.517,3.3,30.08,27.0,0.527,0.527,0.473,0.3232,0.7725
NJD,2025,59,28,2.458,3.068,29.31,27.92,0.5121,0.5121,0.4879,0.1987,0.7919
VGK,2025,58,28,3.379,3.052,28.78,24.79,0.5372,0.5372,0.4628,0.2575,0.8074
OTT,2025,58,28,3.259,3.207,28.48,24.41,0.5385,0.5385,0.4615,0.234,0.7278
SJS,2025,56,27,3.036,3.5,25.66,30.61,0.456,0.456,0.544,0.1969,0.7874
SEA,2025,58,27,2.81,2.931,25.22,29.33,0.4624,0.4624,0.5376,0.2202,0.7143
TOR,2025,59,27,3.22,3.424,27.47,31.8,0.4635,0.4635,0.5365,0.1957,0.8378
NSH,2025,58,27,2.931,3.448,28.55,29.31,0.4934,0.4934,0.5066,0.2222,0.8
PHI,2025,58,26,2.862,3.138,25.59,25.71,0.4988,0.4988,0.5012,0.1607,0.7955
CGY,2025,57,24,2.526,2.947,29.0,29.04,0.4997,0.4997,0.5003,0.1609,0.8253
WPG,2025,57,23,2.842,3.07,26.3,27.95,0.4848,0.4848,0.5152,0.1875,0.7917
LAK,2025,58,23,2.534,2.914,27.34,27.21,0.5013,0.5013,0.4987,0.1628,0.7566
CHI,2025,58,22,2.638,3.172,24.72,29.41,0.4567,0.4567,0.5433,0.1916,0.8523
NYR,2025,58,22,2.603,3.155,25.45,28.71,0.4699,0.4699,0.5301,0.2222,0.7989
STL,2025,58,21,2.603,3.466,25.19,27.6,0.4771,0.4771,0.5229,0.1783,0.7375
VAN,2025,58,18,2.534,3.638,26.83,29.9,0.4729,0.4729,0.5271,0.1808,0.711
