team,season,gp,wins,goals_for_pg,goals_against_pg,shots_for_pg,shots_against_pg,corsi_for_pct,off_xg_pct,def_xg_pct,pp_pct,pk_pct
COL,2000,82,52,3.293,2.341,29.21,25.11,0.5377,0.5377,0.4623,0.2204,0.8275
DET,2000,82,49,3.085,2.463,32.32,27.09,0.544,0.544,0.456,0.2214,0.8571
NJD,2000,82,48,3.598,2.378,31.59,24.68,0.5613,0.5613,0.4387,0.229,0.8469
DAL,2000,82,48,2.939,2.28,25.61,24.91,0.5069,0.5069,0.4931,0.1962,0.862
OTT,2000,82,48,3.341,2.5,30.2,27.26,0.5256,0.5256,0.4744,0.1864,0.8643
BUF,2000,82,46,2.659,2.244,26.88,26.77,0.501,0.501,0.499,0.1609,0.8802
STL,2000,82,43,3.037,2.378,30.41,23.57,0.5634,0.5634,0.4366,0.187,0.8535
PHI,2000,82,43,2.927,2.524,29.9,26.15,0.5335,0.5335,0.4665,0.1571,0.8248
PIT,2000,82,42,3.427,3.122,29.2,29.23,0.4997,0.4997,0.5003,0.2027,0.8074
WSH,2000,82,41,2.841,2.573,28.63,27.72,0.5081,0.5081,0.4919,0.2125,0.8414
SJS,2000,82,40,2.646,2.341,27.65,26.45,0.511,0.511,0.489,0.1404,0.8617
EDM,2000,82,39,2.963,2.707,26.16,26.09,0.5007,0.5007,0.4993,0.1482,0.8377
LAK,2000,82,38,3.073,2.78,27.9,26.34,0.5144,0.5144,0.4856,0.1935,0.8115
CAR,2000,82,38,2.585,2.744,27.04,26.9,0.5012,0.5012,0.4988,0.1885,0.8718
TOR,2000,82,37,2.829,2.524,27.76,27.37,0.5035,0.5035,0.4965,0.1606,0.8497
VAN,2000,82,36,2.915,2.902,29.68,25.88,0.5342,0.5342,0.4658,0.1707,0.8088
BOS,2000,82,36,2.768,3.037,28.77,26.72,0.5185,0.5185,0.4815,0.1641,0.8276
ARI,2000,82,35,2.61,2.585,25.06,29.63,0.4582,0.4582,0.5418,0.1662,0.8519
NSH,2000,82,34,2.268,2.439,26.61,28.62,0.4818,0.4818,0.5182,0.1413,0.852
NYR,2000,82,33,3.049,3.537,28.6,31.4,0.4766,0.4766,0.5234,0.1791,0.785
CHI,2000,82,29,2.561,3.0,26.34,26.71,0.4966,0.4966,0.5034,0.1289,0.839
CBJ,2000,82,28,2.317,2.841,25.39,30.18,0.4569,0.4569,0.5431,0.147,0.8072
MTL,2000,82,28,2.512,2.829,26.2,28.01,0.4832,0.4832,0.5168,0.1615,0.822
CGY,2000,82,27,2.402,2.878,27.2,27.12,0.5007,0.5007,0.4993,0.1494,0.7989
