team,season,week,l5_off_epa,l5_def_epa
ARI,2016,3,0.1668778359889984,-0.08526889979839325
ARI,2016,4,0.01669478416442871,-0.06686965748667717
ARI,2016,5,-0.021931763738393784,-0.07813057396560907
ARI,2016,6,-0.01904317531734705,-0.09726968482136726
ARI,2016,7,-0.02897965405136347,-0.1735292561352253
ARI,2016,8,-0.08017172161489725,-0.15567325726151465
ARI,2016,10,-0.041708814539015295,-0.15300397761166096
ARI,2016,11,-0.041374229826033115,-0.13671044446527958
ARI,2016,12,-0.0863429769873619,-0.1421839866787195
ARI,2016,13,-0.11796286106109619,-0.07421481646597386
ARI,2016,14,-0.057771255075931546,-0.02325020469725132
ARI,2016,15,-0.08415678590536117,-0.04547793716192246
ARI,2016,16,-0.014220808446407319,-0.00296858549118042
ARI,2016,17,0.05010635107755661,0.03454188369214535
ARI,2017,1,0.06293292492628097,-0.13939067162573338
ARI,2017,2,-0.03454277664422989,-0.1843205813318491
ARI,2017,3,0.0021122775971889494,-0.1888699743896723
ARI,2017,4,-0.05341629311442375,-0.20659603364765644
ARI,2017,5,-0.09075383320450783,-0.2291216477751732
ARI,2017,6,-0.12003586962819099,-0.03476477414369583
ARI,2017,7,-0.06401626206934452,0.013428908586502076
ARI,2017,9,-0.13272605948150157,0.07506794035434723
ARI,2017,10,-0.1460449542850256,-0.006059606373310089
ARI,2017,11,-0.1712877731770277,0.015223869308829307
ARI,2017,12,-0.18439346514642238,-0.019488802878186107
ARI,2017,13,-0.21081505417823793,-0.08338228645734488
ARI,2017,14,-0.18213843405246735,-0.12086813296191394
ARI,2017,15,-0.20131721198558808,-0.14060798729769886
ARI,2017,16,-0.2131796360015869,-0.17214674609713257
ARI,2017,17,-0.21296150982379913,-0.26590104661881925
ARI,2018,1,-0.20362820774316787,-0.22794669307768345
ARI,2018,2,-0.20229237526655197,-0.18861058130860328
ARI,2018,3,-0.23486693650484086,-0.06741297617554665
ARI,2018,4,-0.22403739839792253,-0.04341300129890442
ARI,2018,5,-0.21174129843711853,0.05627439171075821
ARI,2018,6,-0.2285488411784172,0.03276792392134666
ARI,2018,7,-0.2634337589144707,-0.03457169905304909
ARI,2018,8,-0.314404784142971,-0.07718167826533318
ARI,2018,10,-0.28870171308517456,-0.0956680566072464
ARI,2018,11,-0.29385379403829576,-0.08488913923501969
ARI,2018,12,-0.30324409157037735,-0.05307832583785057
ARI,2018,13,-0.2845067873597145,0.04143103137612343
ARI,2018,14,-0.1411873757839203,0.04602415338158607
ARI,2018,15,-0.18705254644155503,0.035011754184961316
ARI,2018,16,-0.2289579227566719,0.051393840461969376
ARI,2018,17,-0.20834617167711258,0.11044164150953292
ARI,2019,1,-0.2144681468605995,0.024166975915431977
ARI,2019,2,-0.24725143015384674,0.030320091545581816
ARI,2019,3,-0.16008170694112778,0.09006347954273224
ARI,2019,4,-0.10729275345802307,0.10347625315189361
ARI,2019,5,-0.10576351135969161,0.0783373087644577
ARI,2019,6,0.017076088488101958,0.12368310242891312
ARI,2019,7,0.08417955785989761,0.18030126690864562
ARI,2019,8,0.061724955774843694,0.12274454385042191
ARI,2019,9,0.013853391446173192,0.10728729516267776
ARI,2019,10,0.07799164149910212,0.11314765363931656
ARI,2019,11,0.03472982514649629,0.09613788332790137
ARI,2019,13,-0.03141745757311583,0.04385152738541365
ARI,2019,14,-0.1269774042069912,0.12695718389004468
ARI,2019,15,-0.09276157841086388,0.07746557276695967
ARI,2019,16,-0.08564642295241356,0.059524896554648876
ARI,2019,17,-0.07699059844017028,0.007527673989534378
ARI,2020,1,-0.06429519318044186,0.01490875631570816
ARI,2020,2,0.04763586260378361,-0.03866296485066414
ARI,2020,3,0.10157353170216084,-0.03495872095227241
ARI,2020,4,0.05174184087663889,-0.04776657596230507
ARI,2020,5,0.04839163068681955,0.05172048136591911
ARI,2020,6,0.09388236608356237,0.005942136794328689
ARI,2020,7,0.14250042643398048,-0.020099419355392455
ARI,2020,9,0.1335169157013297,0.016988466680049896
ARI,2020,10,0.16447560042142867,0.040344716608524324
ARI,2020,11,0.15956466645002365,-0.011620181985199452
ARI,2020,12,0.14542648941278458,0.05570596139878035
ARI,2020,13,0.06901775747537613,0.04758031647652387
ARI,2020,14,0.018751004338264467,0.05859163533896208
ARI,2020,15,-0.008110754936933518,-0.045515953190624715
ARI,2020,16,-0.015748634189367294,-0.039970098063349724
ARI,2020,17,-0.07824758812785149,-0.049344052001833914
ARI,2021,1,-0.12806377932429314,-0.033378924056887624
ARI,2021,2,-0.05444868728518486,-0.13226108960807323
ARI,2021,3,-0.034575334191322325,-0.019383354112505913
ARI,2021,4,0.0052794009447097775,-0.05429050028324127
ARI,2021,5,0.10066145956516266,-0.0834832351654768
ARI,2021,6,0.1567184582352638,-0.09074618332087994
ARI,2021,7,0.14994574934244156,-0.07966413609683513
ARI,2021,8,0.1438153624534607,-0.2101595263928175
ARI,2021,9,0.11065218597650528,-0.16220639310777188
ARI,2021,10,0.09935660809278488,-0.18693806678056718
ARI,2021,11,-0.010050135850906371,-0.15110275438055396
ARI,2021,13,-0.010567587614059449,-0.12025501718744636
ARI,2021,14,-0.003493121266365051,-0.06211937954649329
ARI,2021,15,-0.025626493990421294,-0.0351895852945745
ARI,2021,16,-0.11495390981435775,-0.0024046762846410275
ARI,2021,17,0.012705679237842559,0.0033936366438865662
ARI,2021,18,0.004644897580146789,0.04386661052703857
ARI,2022,1,-0.02416732795536518,0.10352307260036468
ARI,2022,2,-0.010703253652900457,0.1442679911851883
ARI,2022,3,0.03666388178244233,0.11835455894470215
ARI,2022,4,0.017442690674215555,0.14365005642175674
ARI,2022,5,-0.022811517771333455,0.03231523334980011
ARI,2022,6,-0.0008893954567611217,0.03461345136165619
ARI,2022,7,-0.04293526485562325,-0.08789287805557251
ARI,2022,8,-0.02606777548789978,-0.06571471355855465
ARI,2022,9,-0.033144183456897736,-0.0958236176520586
ARI,2022,10,-0.04513181746006012,0.006092308834195137
