team,season,week,l5_qb_epa
ARI,2010,3,-2.9349403381347656
ARI,2010,4,-4.030093987782796
ARI,2010,5,-5.827256083488464
ARI,2010,7,-4.768367123603821
ARI,2010,8,-6.025376898050308
ARI,2010,9,-4.178354126214981
ARI,2010,10,-3.238897758722305
ARI,2010,11,-3.566748481988907
ARI,2010,12,-2.596965438127518
ARI,2010,13,-4.697965383529663
ARI,2010,14,-6.209859180450439
ARI,2010,15,-8.41952133178711
ARI,2010,16,-7.9252880096435545
ARI,2010,17,-9.197496509552002
ARI,2011,1,-10.18104009628296
ARI,2011,2,-5.8614836692810055
ARI,2011,3,-2.6921457290649413
ARI,2011,4,-1.0238791465759278
ARI,2011,5,-1.0134920358657837
ARI,2011,7,-0.8176597833633423
ARI,2011,8,-2.542941117286682
ARI,2011,9,-4.76139395236969
ARI,2011,10,-4.898358416557312
ARI,2011,11,-3.9713769435882567
ARI,2011,12,-4.626925992965698
ARI,2011,13,-8.433372640609742
ARI,2011,14,-6.150531578063965
ARI,2011,15,-4.7882428646087645
ARI,2011,16,-5.444445967674255
ARI,2011,17,-4.380360198020935
ARI,2012,1,-2.3515790700912476
ARI,2012,2,-4.479481720924378
ARI,2012,3,-5.6294385433197025
ARI,2012,4,-3.9913456201553346
ARI,2012,5,-3.1153351068496704
ARI,2012,6,-4.387747406959534
ARI,2012,7,-5.307090783119202
ARI,2012,8,-7.805520057678223
ARI,2012,9,-10.42877197265625
ARI,2012,11,-8.988208174705505
ARI,2012,12,-10.318553900718689
ARI,2012,13,-11.841094756126404
ARI,2012,14,-13.362917685508728
ARI,2012,15,-17.757881331443787
ARI,2012,16,-19.439000129699707
ARI,2012,17,-17.955619049072265
ARI,2013,1,-14.354856657981873
ARI,2013,2,-8.546324229240417
ARI,2013,3,-5.138097834587097
ARI,2013,4,-6.614850497245788
ARI,2013,5,-5.233686709403992
ARI,2013,6,-5.5243230819702145
ARI,2013,7,-7.663597631454468
ARI,2013,8,-8.58694224357605
ARI,2013,10,-4.869184184074402
ARI,2013,11,-3.473871922492981
ARI,2013,12,0.44444139003753663
ARI,2013,13,4.9583622217178345
ARI,2013,14,6.921345353126526
ARI,2013,15,9.47508101463318
ARI,2013,16,11.545208168029784
ARI,2013,17,6.217806053161621
ARI,2014,1,3.8158326148986816
ARI,2014,2,6.28499755859375
ARI,2014,3,2.6223864555358887
ARI,2014,5,2.8594710350036623
ARI,2014,6,4.324095726013184
ARI,2014,7,4.09784049987793
ARI,2014,8,4.460944080352784
ARI,2014,9,6.756394958496093
ARI,2014,10,5.2406150817871096
ARI,2014,11,5.15478367805481
ARI,2014,12,5.101782655715942
ARI,2014,13,1.2980242252349854
ARI,2014,14,-0.6784974098205566
ARI,2014,15,-0.947969627380371
ARI,2014,16,-1.4632483005523682
ARI,2014,17,-6.265068769454956
ARI,2015,1,-2.7859944820404055
ARI,2015,2,0.9276010513305664
ARI,2015,3,2.212637996673584
ARI,2015,4,5.5550638198852536
ARI,2015,5,10.135392570495606
ARI,2015,6,10.500590324401855
ARI,2015,7,8.660414505004884
ARI,2015,8,8.349034118652344
ARI,2015,10,11.183912086486817
ARI,2015,11,10.322627484798431
ARI,2015,12,10.894252622127533
ARI,2015,13,10.466245496273041
ARI,2015,14,11.576305043697356
ARI,2015,15,9.140662229061126
ARI,2015,16,11.611756134033204
ARI,2015,17,10.07723274230957
