team,l5_win_pct,l5_pts_diff,elo_trend,l5_pts_for,l5_pts_against
ATL,0.6,-4.0,31.945791839338426,23.0,27.0
NYG,0.2,-2.3999999999999986,-6.36791773520531,22.0,24.4
CLE,0.2,-8.799999999999999,-8.321621511317062,14.6,23.4
KC,0.0,-8.000000000000002,-56.00416052752075,14.6,22.6
NE,0.8,11.2,18.78616675035005,32.0,20.8
NO,0.8,6.800000000000001,39.80821817507285,24.8,18.0
GB,0.4,-3.3999999999999986,-29.00543591714313,25.0,28.4
MIN,0.8,5.800000000000001,31.69192065066386,20.8,15.0
WAS,0.2,-8.400000000000002,-13.13941990100875,19.2,27.6
DAL,0.4,-5.800000000000001,-17.178495871175755,26.8,32.6
MIA,0.6,-1.1999999999999993,-1.246061143838233,22.2,23.4
OAK,0.2,-16.0,-13.516811719050793,14.6,30.6
BUF,0.8,6.0,4.044606811171207,27.0,21.0
PIT,0.6,-0.6000000000000014,16.137846481517045,19.4,20.0
STL,0.6,-5.399999999999999,31.177005046090926,17.0,22.4
TB,0.2,-1.6000000000000014,-52.19814377904072,21.0,22.6
IND,0.0,-10.0,-36.22097593167541,19.0,29.0
BAL,0.4,2.8000000000000007,-7.184549331046128,25.0,22.2
PHI,0.6,6.199999999999999,6.655711065124933,21.4,15.2
CIN,0.6,7.200000000000003,3.2261094734187736,29.6,22.4
TEN,0.4,-4.800000000000001,17.783500555747196,22.0,26.8
SD,0.2,-3.400000000000002,-41.542285808359566,18.2,21.6
SEA,1.0,14.799999999999999,27.370115113827524,29.2,14.4
SF,1.0,13.400000000000002,25.85561248468548,34.6,21.2
ARI,0.0,-16.200000000000003,-26.245923647321433,17.4,33.6
DEN,0.8,1.8000000000000007,14.64658475102192,25.0,23.2
DET,0.2,-3.6000000000000014,-25.498557561361167,27.2,30.8
NYJ,0.2,-20.799999999999997,-27.876907575769792,14.6,35.4
CAR,0.4,-5.0,15.374603115805257,18.0,23.0
JAX,1.0,17.400000000000002,42.42442048152088,33.2,15.8
CHI,0.6,6.399999999999999,7.093350786505198,27.2,20.8
HOU,1.0,8.0,37.59799731895032,24.6,16.6
LA,0.4,5.600000000000001,-9.92589375678017,35.0,29.4
LAC,0.8,7.199999999999999,22.891803872293394,23.8,16.6
LV,0.0,-16.200000000000003,-24.86047900704284,12.4,28.6
