team,off_epa_per_play,def_epa_per_play,pts_for_pg,pts_against_pg,scoring_margin,to_margin,third_down_pct,third_down_allowed,rz_td_pct,pass_yards_per_att,rush_yards_per_carry,sacks_allowed_pg,sacks_forced_pg,season
ARI,-0.0181,0.0766,20.9236,28.7292,-7.8056,-2.0,0.418,0.4148,0.2012,6.7191,4.3571,6.9412,3.5294,2025
ATL,-0.0245,-0.0074,20.7917,23.7083,-2.9167,3.0,0.3377,0.3975,0.2183,6.8321,4.6387,3.0588,6.7059,2025
BAL,0.0261,0.0112,25.1319,23.2847,1.8472,-1.0,0.4089,0.388,0.1582,7.8234,5.4714,5.2941,3.5294,2025
BUF,0.1174,-0.0166,28.1111,21.3472,6.7639,3.0,0.4545,0.4206,0.2211,8.0587,5.251,4.7059,4.2353,2025
CAR,-0.0463,0.0547,18.4375,22.3819,-3.9444,-2.0,0.3612,0.4652,0.1611,6.4405,4.4899,4.1176,3.5294,2025
CHI,0.0729,0.0176,25.9236,24.0347,1.8889,22.0,0.4143,0.4085,0.1778,6.9773,4.9738,2.8235,4.1176,2025
CIN,-0.0105,0.1195,24.1875,28.9097,-4.7222,-3.0,0.4333,0.4227,0.2517,6.6625,4.3253,4.2353,4.1176,2025
CLE,-0.1908,-0.1017,16.3056,22.5556,-6.25,-7.0,0.3485,0.3571,0.155,5.6691,3.9499,6.0,6.2353,2025
DAL,0.0864,0.1561,27.8264,30.0764,-2.25,-11.0,0.4231,0.4518,0.1869,7.6248,4.784,3.6471,4.1176,2025
DEN,0.0407,-0.0884,23.4653,18.3264,5.1389,1.0,0.4217,0.3333,0.1941,6.4232,4.6378,2.7059,8.0,2025
DET,0.0741,-0.0161,28.5278,24.2222,4.3056,4.0,0.385,0.3875,0.2158,7.8741,4.761,4.5882,5.7647,2025
GB,0.1023,0.0304,22.9444,20.9931,1.9514,-1.0,0.4844,0.4041,0.1988,7.8791,4.3333,3.4118,4.2353,2025
HOU,-0.021,-0.1328,23.5417,17.2431,6.2986,15.0,0.3911,0.3629,0.1506,6.8325,4.0173,3.6471,5.5294,2025
IND,0.0653,-0.0011,27.3056,24.3681,2.9375,0.0,0.4159,0.4177,0.2268,7.4954,4.6891,3.4118,4.5882,2025
JAX,0.0252,-0.1095,27.8681,19.9236,7.9444,13.0,0.3866,0.3975,0.2087,7.1893,4.2,4.8235,3.7647,2025
KC,0.0313,-0.0281,21.2222,19.5278,1.6944,-1.0,0.3708,0.4357,0.1852,6.7935,4.3765,5.5294,4.1176,2025
LA,0.1262,-0.0607,30.3819,20.2292,10.1528,11.0,0.3915,0.3539,0.2424,7.9242,4.9727,2.7059,5.5294,2025
LAC,-0.0377,-0.0858,21.5069,20.0069,1.5,1.0,0.4391,0.3511,0.1687,6.9965,4.578,7.0588,5.2941,2025
LV,-0.2149,0.0053,14.0278,25.5278,-11.5,-7.0,0.342,0.4531,0.1538,6.4746,3.6346,7.5294,4.3529,2025
MIA,-0.0177,0.0792,20.3333,25.0,-4.6667,-6.0,0.3465,0.4044,0.1888,6.9644,4.8373,4.4706,4.5882,2025
MIN,-0.1212,-0.1072,20.375,19.3264,1.0486,-7.0,0.3209,0.3402,0.2067,6.6418,4.6869,7.0588,5.7647,2025
NE,0.1365,-0.05,28.8611,18.8611,10.0,3.0,0.4141,0.3889,0.2081,8.8825,4.7833,5.6471,4.1176,2025
NO,-0.094,-0.0717,17.9792,22.3542,-4.375,-2.0,0.3942,0.3537,0.1587,6.8838,3.7692,5.7647,5.2941,2025
NONE,,,,,,0.0,,,,,,,,2025
NYG,0.0089,0.0725,22.3889,25.6389,-3.25,-2.0,0.3858,0.3846,0.1622,7.0533,4.3817,5.6471,4.5882,2025
NYJ,-0.1295,0.1299,17.6736,29.7222,-12.0486,-21.0,0.3416,0.3866,0.1318,5.6354,4.649,7.0588,3.0588,2025
PHI,0.012,-0.0833,22.3819,19.0556,3.3264,7.0,0.3707,0.42,0.2013,7.0667,4.3391,4.1176,4.9412,2025
PIT,0.0205,0.0121,23.3472,22.8472,0.5,12.0,0.4192,0.4157,0.1807,6.6277,4.4658,3.6471,5.6471,2025
SEA,0.0194,-0.12,28.5347,17.3472,11.1875,1.0,0.4081,0.3333,0.1893,8.5178,4.3096,3.1765,5.5294,2025
SF,0.0708,0.0605,25.5625,21.8403,3.7222,-8.0,0.489,0.4,0.2139,7.5622,3.974,3.1765,2.3529,2025
TB,-0.0141,0.0094,22.4375,24.1458,-1.7083,5.0,0.4078,0.3779,0.1879,6.7415,4.2198,4.4706,4.3529,2025
TEN,-0.1617,0.0794,16.6111,28.1667,-11.5556,-9.0,0.3086,0.4009,0.198,5.716,4.2984,6.5882,4.9412,2025
WAS,-0.0017,0.1302,21.0903,26.6042,-5.5139,-11.0,0.3846,0.4079,0.2038,7.1901,4.8505,4.3529,4.9412,2025
