team,off_epa_per_play,def_epa_per_play,pts_for_pg,pts_against_pg,scoring_margin,to_margin,third_down_pct,third_down_allowed,rz_td_pct,pass_yards_per_att,rush_yards_per_carry,sacks_allowed_pg,sacks_forced_pg,season
ARI,-0.0248,-0.1021,26.125,22.625,3.5,-4.0,0.416,0.3868,0.2176,6.8818,4.4362,5.125,6.0,2016
ATL,0.1699,0.045,33.75,25.375,8.375,9.0,0.4359,0.4181,0.201,9.2365,4.739,4.625,4.25,2016
BAL,-0.0583,-0.0452,21.4375,20.0625,1.375,8.0,0.3672,0.3304,0.1875,6.4628,4.1577,4.125,3.875,2016
BUF,0.0629,0.0145,24.9375,23.625,1.3125,6.0,0.4087,0.4087,0.2338,6.8856,5.4119,5.75,4.875,2016
CAR,-0.0571,-0.0025,23.0625,25.125,-2.0625,0.0,0.378,0.36,0.1895,7.075,4.0603,4.5,5.875,2016
CHI,-0.0402,0.064,17.4375,24.9375,-7.5,-18.0,0.3586,0.4267,0.2016,7.4309,4.6702,3.5,4.625,2016
CIN,0.0358,0.0004,20.3125,19.6875,0.625,7.0,0.4017,0.4115,0.1824,7.4973,4.0664,5.125,4.125,2016
CLE,-0.0729,0.1305,16.5,28.25,-11.75,-14.0,0.3691,0.4361,0.2018,6.5363,4.9253,8.25,3.25,2016
DAL,0.1187,-0.0039,26.3125,19.125,7.1875,3.0,0.4167,0.3962,0.3095,7.8981,5.0083,3.5,4.5,2016
DEN,-0.0772,-0.1349,20.8125,18.5625,2.25,2.0,0.3522,0.3626,0.1447,6.8787,3.7834,5.0,5.25,2016
DET,0.0422,0.0969,21.625,22.375,-0.75,1.0,0.4384,0.4384,0.188,7.3215,3.8567,4.625,3.25,2016
GB,0.1062,0.0427,27.0,24.25,2.75,9.0,0.4487,0.4018,0.2337,7.1926,4.8101,4.375,5.0,2016
HOU,-0.1009,-0.0856,17.4375,20.5,-3.0625,-7.0,0.3846,0.3846,0.1286,5.8983,4.2302,4.0,3.875,2016
IND,0.0173,0.0653,25.6875,24.5,1.1875,-5.0,0.4509,0.4151,0.2267,7.7431,4.2097,5.5,4.125,2016
JAX,-0.0832,-0.0412,19.875,25.0,-5.125,-14.0,0.3537,0.3673,0.2453,6.27,4.2377,4.25,4.125,2016
KC,0.0123,-0.0297,24.3125,19.4375,4.875,14.0,0.3568,0.418,0.1667,7.1817,4.5102,4.0,3.5,2016
LA,-0.2297,0.0112,14.0,24.625,-10.625,-11.0,0.3262,0.375,0.1604,6.1925,3.4481,6.125,3.875,2016
LAC,-0.0086,-0.028,25.625,26.4375,-0.8125,-7.0,0.417,0.395,0.1844,7.5751,3.8575,4.5,4.375,2016
LV,0.0245,0.0231,26.0,24.0625,1.9375,12.0,0.3821,0.3965,0.2038,6.9646,4.706,2.25,3.125,2016
MIA,0.0028,0.0095,22.6875,23.75,-1.0625,6.0,0.3532,0.39,0.2368,7.8397,4.5725,3.75,4.125,2016
MIN,-0.0571,-0.1131,20.4375,19.1875,1.25,12.0,0.3697,0.3904,0.1589,7.017,3.3351,4.75,5.125,2016
NE,0.1147,-0.0418,27.5625,15.625,11.9375,14.0,0.4781,0.3796,0.2155,8.1166,4.0864,3.0,4.25,2016
NO,0.086,0.0535,29.3125,28.375,0.9375,-1.0,0.4708,0.4245,0.2174,7.9083,4.4506,3.375,3.75,2016
NONE,,,,,,0.0,,,,,,,,2016
